,question
0,depuis combien temp habitezvous orléan 
1,plais à  orléan 
2,estce compt rest à  orléan 
3,estce voul bien décrir journ travail 
4,questc plaît travail 
5,si net posti 
6,  quest aim fair 
7,quest fait temp libr 
8,samed dimanch 
9,comment lavezvous pass dimanch derni 
10,ferezvous pend vacanc det 
11,feriezvous temp libr 
12,à  avis monsieur questc quon devr apprendr surtout enfant 
13,quon devr apprendr surtout enfant à  lécol 
14,pourquoi 
15,questc pens latin à  lécol 
16,quel mati estil bon quun enfant fort 
17,questc fait enfant réuss réuss à  lécol 
18,continuent leur étud 
19,estce mem chos garçon fill 
20,fait assez habit 
21,à  orléan 
22,bon estce quon fait assez habit 
23,pourr mexpliqu sest pass 
24,questc différent entre class social tres marqu à  orléan 
25,estce peut pass dun class à  lautr 
26,estce différent entre class tendanc à  diminu à  augment 
27,diminu pourquoi 
28,enfant monsieur questc quil font 
29,cour travail 
30,quoi estce parl général 
31,ètesvous satisf condit travail 
32,questc aim voir chang 
33,estce déjà  fait grev 
34,quand 
35,comment ça a com commenc 
36,obtenu satisfact 
37,quel syndicat 
38,estce ète actif 
39,syndicat 
40,pourquoi 
41,quest quil des 
42,questc quil faut fair comm représent 
43,quel région estce quil doit aller dapres 
44,estce quil a endroit quil devr évit 
45,lesquel exempl 
46,bien apprendr franc quel gen devraitil fréquent 
47,pourquoi 
48,évit fréquent 
49,étrang 
50,pourquoi 
51,estce quon parl bien à  orléan 
52,euh lesquel exempl 
53,estce à  avis franc langu difficil 
54,questc conseil fair 
55,questc dit 
56,questc dit linvit 
57,linvit ven chez 
58,comment estce quon fait omelet chez 
59,comment fait omelet 
60,alor monsieur estce quil a u dictionnair chez 
61,lequel 
62,combien volum 
63,  contientil rubriqu langag 
64,faitesvous mot crois 
65,  pensezvous frangl 
66,alor net ète contr 
67,selon gen parlentil mieux mieux plus plus mal 
68,quel person parl mieux franc 
69,décid si mot express fait part non bon franc 
70, façon parl franc 
71,comment devraiton exerc contrôl 
72,comment expliquezvous ça 
73,quel mati éti étiezvous plus fort à  à  à  lé à  lécol 
74,habituel avezvous quelqu chos écrir 
75,possédezvous stylo à  encre 
76,à  suit quel circonst avezvous possed premi fois stylo à  encre 
77,à  travail 
78,besoin décrir beaucoup travail 
79,préférériezvous déplac écrir lettr 
80,estce déplac écriv 
81,estil import selon davoir bel écritur 
82,pourquoi 
83,estil import selon davoir lorthograph 
84,pourquoi 
85,euh seriezvous favor à  réform lorthograph 
86,écrit habituel à  amis commun 
87,rempl papi administr 
88,possed meilleur orthograph 
89,meilleur orthograph 
90,parl meilleur franc 
91,écrit meilleur franc 
92,combien lettr écrivezvous moyen 
93,hor travail 
94,conservezvous lettr quon envoi 
95,combien possédezvous environ 
96,faitesvous brouillon 
97,faitesvous attent faut dorthograph 
98,estce fait toujour attent faut dorthograph 
99,mav dit dhabitud écriv euh crayon nestc 
100,quel typ papi utilisezvous 
101,cest quel couleur 
102,papi à  carreau 
103,estce fait brouillon 
104,quand av dev écrir à  supérieur travail 
105,estce fait brouillon 
106,serv mem papi 
107,agacent façon parl femm 
108,arrivetil reprendr quand parl 
109,atil chos agacent femm façon dont parl 
110,atil chos agacent façon parl enfant 
111,arrivetil quelquefois reprendr 
112,atil mot interdis prononc à  enfant 
113,parent monsieur faisaientil attent à  façon dont parl 
114,repren plus souvent 
115,ète à  orléan depuis combien temp 
116,  ah oui ah bon    bon écout si voul  peux retrac chos     donc  oui    né beaugency là loiret  onze an  venu pension orléan  hein jai fait  euh étud secondair comm pensionnair orléan  donc jai là pend cinq an quatriem class terminal    classiqu modern 
