,question
0,pourquoi ça 
1,quest fait comm travail 
2,quoi ça consist 
3,  tous détail 
4,alor cest journ assez longu 
5,personnel estce ète contr 
6,fair pech 
7,à  lécol 
8,pourquoi estce dit plus longtemp possibl 
9,ben quel sen 
10,sest pass mai 
11,popul popul général quoi 
12,à  quoi estce quon reconnaît exempl gros propriétair 
13,quoi alor 
14,fass autr chos 
15,quand quand fait grev 
16,beaucoup cas comm ça 
17,quel 
18,cest quoi donc ça 
19,cest quoi donc ça 
20,questc a yen a bien autr enfin ça vient à  lid hein 
21,ça dépend quil veut fair auss hein  
22,pouv recommand 
23,quelquun nimport 
24,ri 
25,  cest pet larouss 
26,oà¹ gardezvous dictionnair 
27,lav depuis quand 
28,lav achet toujour 
29,sen sert plus souvent 
30,serv 
31,quand lavezvous regard der derni fois 
32,possédezvous livr euh euh mm lart parl lart décrir difficult langu français 
33,guid politess savoirfair 
34,pourquoi 
35,mot anglais introduit langu français 
36,apparten à  milieux social différent 
37,tres grand grand 
38,comment cel 
39,euh cestà dir quel profess 
40,  lécol 
41,euh correct lorthograph correct lorthograph 
42,à  quel âge 
43,quand av quand avezvous écrit derni fois 
44,stylo euh à  encre 
45,cest fair quoi 
46,travail 
47,mest supérieur euh comment ça travail 
48,réform lorthograph 
49,à  famill euh à  euh à  à  famill 
50,ça vaut hein 
51,mois 
52,travail 
53,enfin moyen moyen euh mois 
54,toujour 
55,lesquel 
56,lettr 
57,stylo encre naim 
58,
59, décrir mot 
60,  cest quelqu chos déjà  nestc 
61,quelquefois 
62,oui enfin prépar omelet natur 
63,classiqu modern 
64,
65,coup là questc alli dir 
66,oh chos déplaisent  bah sav
67,  tentend 
68,  comment ça 
69,  quelquun cherch travail enfin estce quil fait appel relat familial estce ça jou beaucoup euh 
70,estce voi gross différent 
71,  orléan 
72,  oui ète content 
73,exempl 
74,satisfait nestc 
75,  nestc 
76,nestc 
77,vi peutetr genslà 
78,allo 
79,euh peut pos question euh 
80,  pourquoi femm 
81,lemploi départ enfin avant ça ven quoi avis 
82,  ça cest venu euh presqu naturel 
83,grand différent entre dehor 
84,directeur exempl comment ça pass 
85,  estce sattend exempl présent respect 
86,franc 
87,  estce peux pos question  questc
88,ète vousmem professeur franc 
89,vousmem monsieur ète égal anglais 
90,alor là ète franc combien temp mainten 
91,différent dun autr vill 
92,point vu voul dir point vu religi point vu cathol alor 
93,particuli orléan 
94,nouveau venus 
